               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.017284,            0.010253,                   0,             0.96288,                   1,             0.97293,             0.70361,            0.017959,           0.0075432,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.016607,            0.010027,                   0,             0.96103,                   1,             0.97431,             0.69639,             0.01825,            0.007268,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.016727,            0.010367,                   0,             0.96037,                   1,             0.98397,             0.71928,            0.018964,            0.007514,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.015946,            0.010969,                   0,             0.95931,                   1,             0.98052,             0.71075,             0.01885,           0.0074819,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.017313,             0.01015,                   0,             0.93254,                   1,             0.98155,             0.73407,            0.019479,           0.0071263,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.017815,            0.011005,                   0,             0.95787,                   1,             0.98293,             0.73452,            0.019141,           0.0066512,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.017457,             0.01024,                   0,             0.96513,              0.9887,             0.98914,             0.72904,             0.01809,            0.006783,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.017675,           0.0099285,                   0,             0.93311,                   1,             0.99017,             0.73686,            0.018449,            0.006534,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.017116,            0.010531,                   0,             0.95794,                   1,             0.98776,             0.73959,            0.017515,            0.007011,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016902,           0.0099035,                   0,             0.93124,                   1,               0.988,             0.70985,            0.018512,           0.0070203,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.016716,            0.010659,                   0,             0.96545,             0.99801,             0.98638,             0.72633,            0.019094,           0.0073546,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.015875,           0.0098826,                   0,             0.95602,                   1,             0.98534,             0.70455,            0.019051,           0.0080124,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.016459,            0.010005,                   0,             0.96358,                   1,             0.98638,             0.70597,            0.019825,            0.008065,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.016705,            0.010347,                   0,             0.93223,                   1,             0.98638,             0.72115,             0.01844,           0.0076222,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015815,           0.0098167,                   0,              0.9625,                   1,             0.98914,             0.73054,            0.018165,            0.007271,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.017429,            0.010432,                   0,             0.96447,                   1,             0.98638,              0.7375,            0.017839,           0.0068415,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.016922,            0.010294,                   0,             0.96347,                   1,             0.99155,             0.76128,            0.018279,            0.007345,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.015817,           0.0095415,                   0,              0.9632,                   1,             0.98776,             0.75082,             0.01736,           0.0078617,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.014964,           0.0097651,                   0,             0.96338,                   1,             0.98397,             0.73038,            0.018689,           0.0078072,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.016056,            0.010245,                   0,             0.96398,                   1,             0.98397,             0.72865,            0.018469,           0.0078208,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.016455,           0.0097763,                   0,             0.95787,                   1,             0.98155,             0.73899,            0.018449,           0.0076063,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.015552,            0.009943,                   0,             0.96322,                   1,             0.97293,             0.72914,            0.018115,            0.007642,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01512,            0.010014,                   0,             0.96359,                   1,             0.96672,             0.72008,            0.017922,           0.0076142,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.016147,            0.009979,                   0,             0.96352,                   1,             0.97672,             0.73748,            0.017769,           0.0077375,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.015703,            0.010154,                   0,             0.96341,                   1,             0.97914,             0.75737,            0.016979,            0.007801,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.016333,            0.010642,                   0,             0.96295,                   1,             0.98776,             0.73931,            0.017853,            0.006906,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.015845,           0.0095642,                   0,             0.96189,                   1,             0.98914,             0.74742,            0.017494,           0.0071117,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.014581,           0.0096073,                   0,             0.96307,                   1,             0.98638,             0.73806,            0.017683,           0.0069276,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.015264,           0.0096028,                   0,             0.96316,                   1,             0.98638,             0.75193,            0.017859,           0.0073462,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.017148,            0.010996,                   0,             0.96359,                   1,             0.97534,             0.72376,            0.018259,           0.0076954,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.016426,            0.010044,                   0,             0.96325,                   1,             0.97431,              0.7028,            0.018339,           0.0076241,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.016337,            0.009289,                   0,             0.96177,                   1,             0.98534,             0.71384,            0.018193,           0.0077029,                   0,            0.005875,            0.005875,            0.005875
                 127,             0.01559,           0.0096603,                   0,             0.95614,                   1,             0.97776,             0.71062,            0.017457,           0.0077369,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.015631,           0.0097844,                   0,             0.96347,                   1,             0.98638,             0.72851,             0.01844,           0.0081399,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.015548,           0.0099272,                   0,             0.96335,                   1,             0.99017,             0.74756,            0.017982,           0.0079503,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.015515,           0.0096224,                   0,             0.96547,             0.99877,             0.99017,             0.73854,            0.018151,           0.0076766,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.016731,            0.010363,                   0,             0.96513,                   1,             0.99155,             0.73587,            0.018551,           0.0074359,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.016073,           0.0099428,                   0,             0.96361,                   1,             0.99155,             0.71738,            0.017781,           0.0074216,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015029,           0.0095297,                   0,             0.96348,                   1,             0.99155,             0.72441,            0.018864,           0.0076168,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.016533,           0.0097539,                   0,             0.96339,                   1,             0.99259,             0.75759,            0.018386,           0.0072068,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.015242,           0.0095243,                   0,             0.96093,                   1,             0.99017,             0.74185,             0.01818,           0.0071793,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.01533,           0.0093724,                   0,             0.96362,                   1,             0.98638,              0.7417,            0.017147,           0.0071763,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.013879,           0.0085188,                   0,             0.96367,                   1,             0.98914,             0.71589,            0.019407,           0.0076726,                   0,            0.005512,            0.005512,            0.005512
